block,hospitals_within_circle
block_no :461,84.0
block_no :462,84.0
block_no :463,86.0
block_no :464,84.0
block_no :465,85.0
block_no :466,80.0
block_no :467,79.0
block_no :468,69.0
block_no :469,69.0
block_no :470,82.0
block_no :471,83.0
block_no :472,51.0
block_no :473,61.0
block_no :474,60.0
block_no :475,51.0
block_no :476,57.0
block_no :477,58.0
block_no :478,57.0
block_no :479,66.0
block_no :480,57.0
block_no :481,62.0
block_no :482,64.0
block_no :483,70.0
block_no :484,63.0
block_no :485,55.0
block_no :486,58.0
block_no :487,63.0
block_no :488,60.0
block_no :489,54.0
block_no :490,56.0
block_no :491,74.0
block_no :492,60.0
block_no :493,64.0
block_no :494,59.0
block_no :495,60.0
block_no :496,58.0
block_no :497,59.0
block_no :498,64.0
block_no :499,56.0
block_no :500,58.0
block_no :501,56.0
block_no :502,67.0
block_no :503,63.0
block_no :504,19.0
block_no :505,19.0
block_no :506,16.0
block_no :507,17.0
block_no :508,17.0
block_no :509,16.0
block_no :510,17.0
block_no :511,17.0
block_no :512,17.0
block_no :513,17.0
block_no :514,17.0
block_no :515,17.0
block_no :516,13.0
block_no :517,14.0
block_no :518,9.0
block_no :519,10.0
block_no :520,8.0
block_no :521,6.0
block_no :522,5.0
block_no :523,3.0
block_no :524,5.0
block_no :525,3.0
block_no :526,5.0
block_no :527,5.0
block_no :528,4.0
block_no :529,5.0
block_no :530,4.0
block_no :531,5.0
block_no :532,5.0
block_no :533,5.0
block_no :534,3.0
block_no :535,10.0
block_no :536,13.0
block_no :537,10.0
block_no :538,13.0
block_no :539,13.0
block_no :540,4.0
block_no :541,8.0
block_no :542,1.0
block_no :543,17.0
block_no :544,22.0
block_no :545,19.0
block_no :546,12.0
block_no :547,21.0
block_no :548,21.0
block_no :549,10.0
block_no :550,14.0
block_no :551,11.0
block_no :552,6.0
block_no :553,9.0
block_no :554,8.0
block_no :555,10.0
block_no :556,6.0
block_no :557,11.0
block_no :558,8.0
block_no :559,8.0
block_no :560,6.0
block_no :561,10.0
block_no :562,7.0
block_no :563,8.0
block_no :564,6.0
block_no :565,5.0
block_no :566,5.0
block_no :567,6.0
block_no :568,4.0
block_no :569,4.0
block_no :570,5.0
block_no :571,1.0
block_no :572,0.0
block_no :573,6.0
block_no :574,2.0
block_no :575,1.0
block_no :576,46.0
block_no :577,51.0
block_no :578,40.0
block_no :579,49.0
block_no :580,38.0
block_no :581,35.0
block_no :582,34.0
block_no :583,27.0
block_no :584,17.0
block_no :585,28.0
block_no :586,27.0
block_no :587,20.0
block_no :588,13.0
block_no :589,11.0
block_no :590,4.0
block_no :591,0.0
block_no :592,2.0
block_no :593,0.0
block_no :594,2.0
block_no :595,4.0
block_no :596,3.0
block_no :597,4.0
block_no :598,2.0
block_no :599,14.0
block_no :600,6.0
block_no :601,14.0
block_no :602,29.0
block_no :603,20.0
block_no :604,40.0
block_no :605,41.0
block_no :606,38.0
block_no :607,42.0
block_no :608,41.0
block_no :609,48.0
block_no :610,48.0
block_no :611,52.0
block_no :612,46.0
block_no :613,48.0
block_no :614,40.0
block_no :615,46.0
block_no :616,27.0
block_no :617,24.0
block_no :618,37.0
block_no :619,27.0
block_no :620,19.0
block_no :621,19.0
block_no :622,19.0
