Type,Coordinates
Polygon,"POLYGON ((-95.3980341 29.708238, -95.3980318 29.7083697, -95.3982738 29.7083735, -95.3988383 29.7083824, -95.398835 29.7086636, -95.3975334 29.708655, -95.3975352 29.7086908, -95.3972946 29.7086889, -95.3973165 29.7080624, -95.3967853 29.708058, -95.3967827 29.7082934, -95.3964766 29.7082939, -95.3964817 29.7080243, -95.3963309 29.7080222, -95.3963285 29.7082916, -95.3960682 29.7082906, -95.3960697 29.7077841, -95.3963362 29.7077903, -95.396335 29.7079735, -95.396482 29.7079761, -95.3964876 29.7078056, -95.3966948 29.7078112, -95.3966915 29.7077443, -95.3972657 29.7077549, -95.3972686 29.7076967, -95.3968031 29.707702, -95.3968096 29.7076439, -95.3967506 29.7076435, -95.396754 29.7076076, -95.3968076 29.7076106, -95.3968074 29.7075606, -95.3972327 29.7075688, -95.3972343 29.7074794, -95.3971246 29.7074782, -95.3971259 29.7073964, -95.396992 29.7073949, -95.3969924 29.7074291, -95.3965252 29.7074239, -95.3965235 29.7074685, -95.3964101 29.7074677, -95.3964113 29.7074391, -95.3964212 29.7074338, -95.3964202 29.7073802, -95.3963763 29.7073785, -95.3963771 29.7073937, -95.3962834 29.7073915, -95.3962771 29.7073859, -95.396278 29.7073782, -95.3962407 29.7073791, -95.3962399 29.7074228, -95.3959608 29.7074205, -95.3959605 29.7073753, -95.3959105 29.7073734, -95.3959087 29.707276, -95.3958998 29.7072676, -95.3959008 29.7072322, -95.3959135 29.7072243, -95.3959174 29.7071734, -95.3959195 29.7071225, -95.3962746 29.7071321, -95.3962911 29.7071206, -95.3963671 29.70712, -95.3963795 29.7071291, -95.3963895 29.7071298, -95.3964182 29.7071289, -95.3964173 29.7071163, -95.3964103 29.7071108, -95.3964165 29.7070851, -95.3965211 29.7070852, -95.3965175 29.7071343, -95.3967777 29.7071322, -95.3967791 29.7070479, -95.396751 29.7070475, -95.3967565 29.706879, -95.3968506 29.7068798, -95.3968511 29.7068976, -95.396891 29.7068983, -95.3968945 29.7067974, -95.3969869 29.7067948, -95.396989 29.7067405, -95.3969868 29.7066558, -95.3972736 29.7066574, -95.3972696 29.7067407, -95.3972673 29.706789, -95.3973687 29.7067898, -95.3973686 29.7067388, -95.3974144 29.7067415, -95.3974751 29.7067433, -95.3974713 29.7068775, -95.3973775 29.7068742, -95.3973776 29.7069316, -95.3974447 29.7069321, -95.3974476 29.7069658, -95.397499 29.7069679, -95.3974944 29.7070583, -95.3974692 29.7070574, -95.3974698 29.7071093, -95.3975943 29.7071058, -95.3975457 29.7070615, -95.3975637 29.7070405, -95.3975488 29.7070289, -95.3975806 29.7070009, -95.3975584 29.7069752, -95.3975757 29.7069565, -95.3976723 29.7068761, -95.3977761 29.7069719, -95.3977412 29.7070062, -95.3978055 29.7070661, -95.3977518 29.7071137, -95.3978053 29.7071063, -95.3978614 29.7070264, -95.3979415 29.7070725, -95.3979961 29.7070709, -95.3980357 29.7070077, -95.3981452 29.7070615, -95.3981272 29.7070978, -95.3981422 29.7071052, -95.3981589 29.7071083, -95.3981977 29.7071123, -95.3982054 29.7071225, -95.3982261 29.707122, -95.398324 29.7072792, -95.398308 29.7072885, -95.398308 29.7073048, -95.3982924 29.7073062, -95.3982891 29.7073391, -95.3983902 29.7073644, -95.3987928 29.7074652, -95.3989165 29.7074935, -95.3989119 29.707565, -95.3988536 29.707565, -95.3988531 29.7077049, -95.3987091 29.7077031, -95.3987981 29.7077807, -95.3988914 29.7078577, -95.3987831 29.7079518, -95.3987761 29.7080099, -95.3988884 29.7081092, -95.3986975 29.7082771, -95.3985981 29.7081898, -95.398541 29.7082421, -95.3985073 29.7082098, -95.398471 29.7082382, -95.3983127 29.7081017, -95.398165 29.7082337, -95.3980341 29.708238))"
Polygon,"POLYGON ((-95.400219 29.7045086, -95.4001579 29.7045078, -95.4001587 29.7044603, -95.3999028 29.704457, -95.3999023 29.7044852, -95.399858 29.7044847, -95.3998564 29.704579, -95.3997229 29.7045773, -95.3997222 29.7046299, -95.3997207 29.704707, -95.3997703 29.7047076, -95.3997683 29.7048276, -95.3997201 29.704827, -95.3997185 29.7049224, -95.3997691 29.704923, -95.399768 29.7049884, -95.3998399 29.7049894, -95.3998388 29.7050597, -95.3997145 29.7050581, -95.3997127 29.7051637, -95.3997661 29.7051644, -95.3997637 29.7053093, -95.3996433 29.7053078, -95.3996449 29.7052127, -95.3994599 29.7052104, -95.3994587 29.7052843, -95.399542 29.7052853, -95.3995368 29.7055973, -95.3998318 29.7056009, -95.3998311 29.7056434, -95.3998425 29.7056435, -95.3998412 29.7057242, -95.3998944 29.7057249, -95.3998939 29.7057551, -95.4001459 29.7057583, -95.4001466 29.7057162, -95.40033 29.7057185, -95.4003311 29.7056538, -95.4003483 29.705654, -95.4003763 29.7056544, -95.4003782 29.705538, -95.4003334 29.7055374, -95.4003357 29.7054043, -95.400355 29.7054046, -95.4004159 29.7054054, -95.4004169 29.70535, -95.4004406 29.7053503, -95.4004896 29.705351, -95.4004904 29.705305, -95.4006512 29.7053054, -95.4006563 29.7051748, -95.4008229 29.7051776, -95.4008291 29.7049061, -95.4006774 29.7049041, -95.4006439 29.7049036, -95.4006436 29.7049207, -95.4004882 29.7049187, -95.4004889 29.704876, -95.4004477 29.7048756, -95.4003257 29.7048739, -95.4003266 29.7048264, -95.4004155 29.7048275, -95.4004172 29.704729, -95.4003882 29.7047286, -95.4003865 29.7047243, -95.4004505 29.7047254, -95.4005652 29.7047272, -95.4005654 29.7046991, -95.4004505 29.7046976, -95.4003868 29.7046969, -95.4003907 29.7045832, -95.400355 29.7045827, -95.4003468 29.7045826, -95.400348 29.7045102, -95.400219 29.7045086))"
Polygon,"POLYGON ((-95.4224976 29.7053433, -95.4214723 29.7053589, -95.4215205 29.7054099, -95.4215203 29.7054847, -95.4214883 29.7055378, -95.4214239 29.7055642, -95.421355 29.7055582, -95.4212952 29.7055213, -95.4207405 29.7055282, -95.4207264 29.7050492, -95.4224922 29.705035, -95.4224976 29.7053433))"
Polygon,"POLYGON ((-95.4037272 29.6911412, -95.4042499 29.6917169, -95.404407 29.6919839, -95.4045374 29.6922695, -95.4046378 29.6925521, -95.4046646 29.6927851, -95.4046565 29.6932348, -95.404619 29.6946841, -95.40342 29.6949683, -95.4013976 29.695453, -95.4012951 29.6949579, -95.400812 29.6950412, -95.4007325 29.6944744, -95.4007204 29.6942239, -95.4007258 29.6940468, -95.400774 29.6937847, -95.4008666 29.6935202, -95.4010423 29.6931393, -95.4011951 29.6929214, -95.4014459 29.6926675, -95.4016739 29.6924857, -95.4021989 29.6920849, -95.4025895 29.6917734, -95.4026939 29.6916893, -95.4029537 29.6913913, -95.4030703 29.6912101, -95.4032264 29.6912622, -95.4036657 29.6912315, -95.4037272 29.6911412))"
Polygon,"POLYGON ((-95.3922868 29.7011341, -95.392422 29.7008036, -95.3930982 29.7010122, -95.392963 29.7013428, -95.3922868 29.7011341))"
Polygon,"POLYGON ((-95.3984745 29.6955401, -95.3985308 29.6957009, -95.3987093 29.6956568, -95.3987346 29.6957405, -95.3990109 29.6956683, -95.3990341 29.695683, -95.3990728 29.6956841, -95.3991057 29.6956762, -95.3991351 29.6956542, -95.3991519 29.6956306, -95.3991556 29.695604, -95.3991433 29.6955803, -95.3991188 29.6955629, -95.3993784 29.6955029, -95.399327 29.6953339, -95.3994213 29.6953141, -95.3993435 29.6950602, -95.399142 29.695108, -95.3991557 29.6951604, -95.3987051 29.6952675, -95.398689 29.6952209, -95.3984664 29.6952675, -95.3985522 29.6955215, -95.3984745 29.6955401))"
Polygon,"POLYGON ((-95.3992773 29.7132641, -95.3993572 29.7131609, -95.3994389 29.7130552, -95.3989237 29.7127418, -95.3987554 29.7129531, -95.3992773 29.7132641))"
Polygon,"POLYGON ((-95.3951078 29.6986313, -95.3948305 29.6993216, -95.3948016 29.6993937, -95.3937774 29.6990926, -95.3937989 29.6989295, -95.3939437 29.6985427, -95.3940314 29.6982925, -95.393742 29.6981576, -95.3938128 29.6979738, -95.3941572 29.6980723, -95.39433 29.6977645, -95.3945338 29.6978204, -95.3943997 29.6982259, -95.3945647 29.6982683, -95.3945016 29.6984402, -95.3951078 29.6986313))"
Polygon,"POLYGON ((-95.3968219 29.7140603, -95.3966819 29.7139811, -95.3965943 29.7140992, -95.3966345 29.7141166, -95.3967002 29.7140325, -95.3967587 29.7140735, -95.3966578 29.714216, -95.3968116 29.7143173, -95.3968306 29.7143299, -95.3967489 29.7144327, -95.3965087 29.7142797, -95.3965316 29.714256, -95.396432 29.7142073, -95.3963241 29.7143267, -95.3961756 29.714236, -95.396133 29.7142382, -95.3961389 29.7142967, -95.3960453 29.714422, -95.3958195 29.7144559, -95.3956923 29.7143799, -95.3956803 29.7143165, -95.3956274 29.7143188, -95.3955265 29.7144569, -95.3953966 29.7143923, -95.3955379 29.7142338, -95.3954117 29.7141472, -95.395493 29.714049, -95.3956559 29.7141425, -95.3960874 29.7140836, -95.3962254 29.7139042, -95.3953247 29.7133653, -95.3952601 29.7134464, -95.3949807 29.7132314, -95.3946628 29.713618, -95.3944449 29.7134919, -95.3943834 29.7135615, -95.3942248 29.7134537, -95.3944064 29.7132355, -95.3944853 29.7132741, -95.3946869 29.7130084, -95.3949577 29.7131743, -95.3949813 29.7131395, -95.3949231 29.7131061, -95.3949782 29.7130431, -95.3949295 29.7130205, -95.3951043 29.7128174, -95.3953117 29.7129306, -95.3954087 29.7128061, -95.3953358 29.7127668, -95.3954683 29.7126132, -95.3954868 29.7125937, -95.3955784 29.7126517, -95.3955585 29.7126756, -95.3956915 29.7127585, -95.395718 29.7127299, -95.3957841 29.7127664, -95.3957617 29.7127897, -95.3958438 29.7128393, -95.3958324 29.7128565, -95.3958369 29.7128715, -95.395893 29.7129093, -95.3959226 29.7128978, -95.3959548 29.7128883, -95.3959842 29.7128953, -95.3960222 29.7129156, -95.396047 29.7129485, -95.3960565 29.7129764, -95.3960456 29.7130043, -95.3961041 29.7130424, -95.3961279 29.7130402, -95.3961462 29.7130206, -95.3962245 29.7130732, -95.3962445 29.7130498, -95.3963067 29.7130854, -95.3962888 29.7131142, -95.396508 29.7132434, -95.397017 29.7135663, -95.3971652 29.713662, -95.3968219 29.7140603))"
Polygon,"POLYGON ((-95.3842789 29.7242262, -95.3842465 29.7242369, -95.3842169 29.7242527, -95.3841913 29.724273, -95.3841705 29.7242972, -95.3841541 29.7243272, -95.3841452 29.7243596, -95.3841443 29.7243929, -95.3840703 29.7244837, -95.3837316 29.7242756, -95.3837669 29.7242323, -95.3836891 29.7241845, -95.3838462 29.7239916, -95.3837991 29.7239627, -95.3838183 29.723939, -95.3838411 29.723953, -95.3838902 29.7238927, -95.3839944 29.7239567, -95.3840095 29.7239382, -95.3843454 29.7241446, -95.3842789 29.7242262))"
Polygon,"POLYGON ((-95.4318396 29.8120477, -95.4316346 29.8120796, -95.431471 29.8121115, -95.4312913 29.8121386, -95.4312748 29.8121407, -95.4312584 29.8121427, -95.4310387 29.8121718, -95.4308765 29.8121857, -95.4306914 29.8122032, -95.4305652 29.8122119, -95.4305063 29.812216, -95.4303508 29.8122241, -95.4301281 29.8122253, -95.4299736 29.8122112, -95.4299632 29.8122114, -95.4299501 29.8119021, -95.4294709 29.8119071, -95.4294669 29.8118, -95.4294307 29.8108202, -95.4294296 29.8107627, -95.4294246 29.8104892, -95.429703 29.8104845, -95.4296842 29.8097991, -95.430293 29.809794, -95.4304984 29.8097929, -95.430751 29.8097915, -95.4309796 29.8097902, -95.4312089 29.8097889, -95.4318434 29.809791, -95.4318425 29.8093885, -95.4323355 29.8093873, -95.4323358 29.8092499, -95.4323321 29.8090442, -95.4323272 29.808769, -95.4327381 29.8087673, -95.4327481 29.809369, -95.4331905 29.8093682, -95.433214 29.8107722, -95.4332107 29.8116617, -95.4329833 29.8117337, -95.4327726 29.8117967, -95.4326254 29.8118382, -95.4325596 29.8109919, -95.4318407 29.8110035, -95.4318488 29.8116063, -95.4318396 29.8120477))"
Polygon,"POLYGON ((-95.4356351 29.8121574, -95.4349532 29.81244, -95.4349615 29.8122016, -95.4351376 29.8121273, -95.4351401 29.812046, -95.4353178 29.811975, -95.4353177 29.8118952, -95.4355362 29.8118028, -95.4355338 29.8120514, -95.435636 29.8120509, -95.4356351 29.8121574))"
Polygon,"POLYGON ((-95.4424598 29.7221619, -95.442458 29.7220633, -95.4421592 29.7220675, -95.442161 29.7221661, -95.4424598 29.7221619))"
Polygon,"POLYGON ((-95.4424619 29.7222733, -95.4424598 29.7221619, -95.442161 29.7221661, -95.4421628 29.7222775, -95.4424619 29.7222733))"
Polygon,"POLYGON ((-95.3160688 29.7257209, -95.3159627 29.7259909, -95.3158184 29.7259481, -95.3159148 29.7257028, -95.3159965 29.725727, -95.3160062 29.7257023, -95.3160688 29.7257209))"
Polygon,"POLYGON ((-95.4256842 29.8013357, -95.4255349 29.8012912, -95.4255429 29.8012711, -95.4252361 29.8011797, -95.425248 29.8011496, -95.4252715 29.80109, -95.4253287 29.8009457, -95.4257847 29.8010816, -95.4256842 29.8013357))"
Polygon,"POLYGON ((-95.3607382 29.7317617, -95.3604196 29.7315692, -95.3600377 29.7313397, -95.3600236 29.7313232, -95.3600218 29.7313007, -95.360021 29.7312721, -95.3600426 29.7312406, -95.3603216 29.7309075, -95.3613407 29.7296331, -95.3613749 29.7296023, -95.3614116 29.7295885, -95.3614543 29.7295864, -95.3615093 29.7296055, -95.3621391 29.7299949, -95.3617309 29.7305145, -95.3616723 29.7305891, -95.3624942 29.7310489, -95.3625554 29.731086, -95.3625615 29.7311073, -95.3625652 29.7311317, -95.362556 29.7311545, -95.3625469 29.731172, -95.3621839 29.7316329, -95.3612716 29.7311106, -95.3607382 29.7317617))"
Polygon,"POLYGON ((-95.3657638 29.7465043, -95.3657509 29.7464988, -95.3657309 29.7464903, -95.365708 29.7464897, -95.3656797 29.7465002, -95.3656575 29.7465236, -95.3652364 29.7470534, -95.3650958 29.7472123, -95.3648583 29.7470668, -95.3643281 29.7467444, -95.3642857 29.746728, -95.3642548 29.7467356, -95.364242 29.7467491, -95.3638255 29.7472672, -95.3637885 29.7473174, -95.3637878 29.7473373, -95.3638094 29.7473554, -95.3643025 29.7476516, -95.3647984 29.7479565, -95.3653144 29.7482649, -95.3659907 29.7486697, -95.3664409 29.7489486, -95.3669224 29.7492336, -95.3670185 29.7492948, -95.3670393 29.7493019, -95.3670612 29.749299, -95.3670836 29.749273, -95.3675197 29.7487194, -95.3681106 29.7479768, -95.3681239 29.7479495, -95.3681135 29.7479214, -95.3674845 29.7475431, -95.3666177 29.7470168, -95.3657638 29.7465043))"
Polygon,"POLYGON ((-95.3060119 29.7351035, -95.3056888 29.7350042, -95.3057243 29.7349172, -95.3057705 29.7348038, -95.3060936 29.7349031, -95.3060119 29.7351035))"
Polygon,"POLYGON ((-95.4053119 29.7044745, -95.4058541 29.7047589, -95.4059669 29.7046041, -95.4060251 29.704484, -95.4060287 29.704405, -95.4060178 29.7043101, -95.4059669 29.7042122, -95.4058904 29.7041268, -95.405643 29.7040004, -95.4053119 29.7044745))"
Polygon,"POLYGON ((-95.3613569 29.7737566, -95.361035 29.7734842, -95.3607373 29.7737543, -95.3608607 29.7738474, -95.3607776 29.7739219, -95.3607749 29.7739475, -95.360791 29.7739964, -95.3608258 29.7740546, -95.3608527 29.7740802, -95.3608902 29.7740989, -95.3609385 29.7740989, -95.3609734 29.7740895, -95.3610055 29.7740686, -95.3613569 29.7737566))"
Polygon,"POLYGON ((-95.410195 29.7413576, -95.4101741 29.7413579, -95.4101745 29.7413865, -95.4100188 29.7413884, -95.4100076 29.741352, -95.4100014 29.7409836, -95.4101886 29.7409812, -95.410195 29.7413576))"
Polygon,"POLYGON ((-95.3753969 29.7125287, -95.3756147 29.7124054, -95.3766315 29.7119037, -95.3762353 29.7111812, -95.3755355 29.7108027, -95.3745749 29.7114966, -95.3744643 29.7113686, -95.3742055 29.7115441, -95.3738157 29.7110793, -95.3726449 29.712501, -95.3729853 29.7126145, -95.3738541 29.7126629, -95.3738279 29.7131055, -95.3739153 29.71332, -95.3743368 29.7131416, -95.374762 29.7129495, -95.3749033 29.7128771, -95.3753969 29.7125287))"
Polygon,"POLYGON ((-95.211069 29.5830567, -95.2080823 29.5858793, -95.2071032 29.5850001, -95.2063875 29.5856058, -95.2056768 29.5857778, -95.2041573 29.5853468, -95.2035925 29.5853452, -95.20365 29.5847652, -95.2070867 29.5815334, -95.2060055 29.5806638, -95.2069694 29.5797573, -95.211069 29.5830567))"
Polygon,"POLYGON ((-95.2851623 29.700786, -95.2860667 29.7005546, -95.2860709 29.7005216, -95.2860708 29.700327, -95.286069 29.700122, -95.2860695 29.6999524, -95.2860567 29.6987511, -95.2851655 29.6989817, -95.2851641 29.6990308, -95.2851609 29.6993045, -95.2851556 29.6998216, -95.2851704 29.6999544, -95.2851678 29.7007228, -95.2851623 29.700786))"
Polygon,"POLYGON ((-95.3167481 29.6934359, -95.3161892 29.6949096, -95.3152914 29.6946375, -95.3155411 29.693966, -95.3158522 29.693182, -95.3167481 29.6934359))"
Polygon,"POLYGON ((-95.3604321 29.7105394, -95.360393 29.7107237, -95.3600281 29.7116014, -95.3596018 29.7125745, -95.359207 29.7125371, -95.3594026 29.712081, -95.3590539 29.7119738, -95.359 29.7119689, -95.3585736 29.7119305, -95.3589598 29.710939, -95.3589129 29.7108681, -95.3591624 29.7107606, -95.359603 29.7106443, -95.3599392 29.7105678, -95.3601971 29.7105451, -95.3604321 29.7105394))"
Polygon,"POLYGON ((-95.3874653 29.7222104, -95.3864268 29.7234992, -95.3862847 29.7236902, -95.3869069 29.7240722, -95.3878642 29.7246552, -95.3884539 29.723956, -95.3875022 29.7234163, -95.3881524 29.7226148, -95.3874653 29.7222104))"
Polygon,"POLYGON ((-95.3940375 29.6975036, -95.3933929 29.6976627, -95.3932818 29.6977113, -95.393279 29.6977765, -95.3933033 29.6981688, -95.3932111 29.6987599, -95.3930113 29.6993086, -95.3920396 29.7013286, -95.392017 29.7014208, -95.392113 29.7015172, -95.3946009 29.7022469, -95.3948826 29.7013266, -95.3957892 29.699097, -95.3960896 29.6981976, -95.3964758 29.6972284, -95.3966081 29.6968923, -95.3940375 29.6975036))"
Polygon,"POLYGON ((-95.3900385 29.7058673, -95.3900845 29.7056715, -95.3902745 29.7051731, -95.39055 29.7044644, -95.3910579 29.7031659, -95.3914055 29.7022915, -95.391733 29.7014528, -95.3922808 29.7002293, -95.392654 29.6994164, -95.3927943 29.6990726, -95.3928924 29.698815, -95.3929358 29.6986378, -95.3929662 29.6984306, -95.3929721 29.6982319, -95.3929667 29.6980332, -95.3929402 29.6978215, -95.3928158 29.6978406, -95.3928037 29.6977963, -95.3909265 29.6982238, -95.3902164 29.6983992, -95.3898933 29.6984294, -95.3871399 29.6989562, -95.3859389 29.702461, -95.3857284 29.7030753, -95.3848513 29.7056008, -95.3854365 29.7058543, -95.3858197 29.7060034, -95.3863466 29.7061701, -95.3866741 29.7062671, -95.3871067 29.7064262, -95.3873536 29.7064777, -95.3876285 29.7065177, -95.3879194 29.7065363, -95.3882131 29.7065234, -95.3885191 29.706483, -95.3887742 29.7064268, -95.3890324 29.7063476, -95.3892739 29.7062456, -95.3898403 29.7059501, -95.3900385 29.7058673))"
